today,interviewer,municipality,hh_m/male_infant,hh_m/male_young,hh_m/male_child,hh_m/male_adult,hh_m/male_senior,hh_f/female_infant,hh_f/female_young,hh_f/female_child,hh_f/female_adult,hh_f/female_senior,hh_males,hh_females,hh_total,hh_confirm,land_tenure,single_headed,single_headed_sex,pregnant_lactating,disabled_ill_male,disabled_ill_female,pre_income_primary,pre_income_primary_other,post_income_primary,post_income_primary_other,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,B11,B12,B13,B14,C15,C16,C17,C18,C19,C20,D21,D22,D23,D24,D25,D26,D27,D28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,meta/instanceID,_uuid,_submission_time
12/12/14,Jinkelyn Antatico,PH061909017_CA223,0,2,0,1,0,0,0,1,2,0,3,3,6,OK,free_private,no,n/a,0,0,0,agri_worker,n/a,shell_picker,n/a,disagree,disagree,disagree,disagree,disagree,agree,agree,agree_strongly,agree,disagree,agree,agree,disagree,disagree,agree,agree,agree,agree,disagree,disagree,agree,disagree,agree,agree,agree,disagree,disagree,na,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,uuid:1d6a4393-4ed1-4dcc-8b28-e0b4bb4d0965,1d6a4393-4ed1-4dcc-8b28-e0b4bb4d0965,2014-12-12T09:27:31
12/12/14,Jinkelyn Antatico,PH061909012_CA221,0,0,0,0,0,0,0,0,1,0,0,1,1,OK,free_private,yes,female,0,0,1,weaving,n/a,weaving,n/a,disagree,disagree,disagree,na,agree,agree,agree,agree_strongly,na,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,disagree,disagree,agree,disagree,na,disagree,na,na,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,uuid:d71d4e2f-adf9-4808-827c-13b2d431eec0,d71d4e2f-adf9-4808-827c-13b2d431eec0,2014-12-12T09:27:32
12/12/14,Jame Marie Sian,PH061909030_CA247,0,1,0,1,0,0,1,0,1,0,2,2,4,OK,own_rent,no,n/a,0,0,0,fishing,n/a,remittance,n/a,disagree,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,disagree,agree,agree_strongly,agree_strongly,neither,neither,agree_strongly,agree_strongly,neither,agree,neither,agree,neither,neither,neither,agree,na,neither,agree_strongly,agree,agree_strongly,agree,agree_strongly,agree_strongly,agree_strongly,agree,agree,agree_strongly,agree,agree_strongly,uuid:361b583f-36c9-43ca-bfb5-fbf2aac0672e,361b583f-36c9-43ca-bfb5-fbf2aac0672e,2014-12-12T12:50:59
12/12/14,Jame Marie Sian,PH061909004_CA203,0,0,0,2,0,0,0,0,0,1,2,1,3,OK,free_private,yes,female,0,0,1,agri_worker,n/a,agri_worker,n/a,agree,agree,agree_strongly,na,agree_strongly,agree_strongly,neither,agree_strongly,na,agree,agree,agree,na,na,agree,agree,na,na,na,na,agree,na,agree_strongly,agree,na,agree,na,agree,agree,na,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,uuid:45b1a502-7b94-4b97-bfe5-e95f1bb685f8,45b1a502-7b94-4b97-bfe5-e95f1bb685f8,2014-12-12T12:51:00
12/12/14,Jame Marie Sian,PH061909006_CA206,0,0,1,0,1,0,1,1,1,1,2,4,6,OK,free_govt,yes,female,0,1,1,remittance,n/a,daily_wage,n/a,neither,neither,agree_strongly,na,disagree,disagree,agree,agree_strongly,na,neither,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree,agree_strongly,na,na,na,na,neither,disagree,disagree,disagree,neither,disagree,na,na,agree_strongly,na,agree,agree_strongly,agree_strongly,agree_strongly,agree,agree_strongly,agree_strongly,agree_strongly,uuid:2432f857-bef9-48b0-acf7-af1cd2b5166a,2432f857-bef9-48b0-acf7-af1cd2b5166a,2014-12-12T12:51:02
12/12/14,Jame Marie Sian,PH061909007_CA213,0,0,0,1,0,0,0,1,0,1,1,2,3,OK,free_private,yes,female,0,0,0,agri_worker,n/a,agri_worker,n/a,agree_strongly,agree_strongly,agree_strongly,na,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree,agree,na,na,agree_strongly,agree,na,na,na,na,agree_strongly,disagree,agree,neither,agree_strongly,agree_strongly,na,agree_strongly,agree_strongly,na,agree,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree,agree_strongly,agree_strongly,uuid:95053000-1dd3-4457-99c1-49bb344585f6,95053000-1dd3-4457-99c1-49bb344585f6,2014-12-12T12:51:03
12/12/14,Jame Marie Sian,PH061909022_CA235,1,1,0,1,0,0,0,0,2,0,3,2,5,OK,own_rent,yes,female,1,0,0,agri_worker,n/a,agri_worker,n/a,agree,agree,neither,na,disagree,agree,agree_strongly,agree_strongly,neither,agree_strongly,agree_strongly,agree_strongly,neither,neither,agree_strongly,agree_strongly,neither,neither,neither,neither,agree_strongly,agree,agree,agree,disagree,neither,na,neither,neither,agree,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree,agree_strongly,agree_strongly,uuid:7f66e395-1097-45d4-9521-48c6a3401ba1,7f66e395-1097-45d4-9521-48c6a3401ba1,2014-12-12T12:51:04
12/12/14,Jame Marie Sian,PH061909028_CA244,0,0,1,1,0,0,0,1,0,1,2,2,4,OK,free_private,yes,female,0,0,0,agri_worker,n/a,agri_worker,n/a,agree,neither,agree_strongly,na,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree,agree_strongly,agree_strongly,agree_strongly,neither,neither,agree_strongly,agree_strongly,neither,neither,disagree,neither,neither,neither,agree,neither,agree,agree,na,agree,agree,na,agree,agree,agree,agree,agree,agree,agree,agree,uuid:c3a0354b-0f00-419d-ae6c-d6bb48e5ef5e,c3a0354b-0f00-419d-ae6c-d6bb48e5ef5e,2014-12-12T12:51:06
12/12/14,Jame Marie Sian,PH061909028_CA241,0,0,1,1,0,0,0,2,1,0,2,3,5,OK,own,no,n/a,0,0,0,agriculture,n/a,agriculture,n/a,agree_strongly,agree_strongly,agree_strongly,agree,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,neither,neither,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,neither,agree_strongly,agree_strongly,agree_strongly,agree_strongly,neither,agree_strongly,agree_strongly,na,agree_strongly,agree_strongly,agree_strongly,agree_strongly,neither,agree_strongly,agree_strongly,agree_strongly,uuid:61717b54-742d-4b24-806f-ba337887445b,61717b54-742d-4b24-806f-ba337887445b,2014-12-12T12:51:07
12/12/14,Jame Marie Sian,PH061909031_CA250,0,1,1,1,0,0,1,0,1,0,3,2,5,OK,free_private,no,n/a,0,0,0,agri_worker,n/a,agri_worker,n/a,agree,agree,agree_strongly,na,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree,agree,neither,agree,neither,neither,na,na,na,na,na,na,agree_strongly,neither,agree,agree,agree,agree_strongly,na,agree_strongly,agree_strongly,na,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,uuid:395f2c36-4dd2-4ad8-9bb9-808a59ddebd5,395f2c36-4dd2-4ad8-9bb9-808a59ddebd5,2014-12-12T12:51:08
